1	2	3	4	5	6	7	8
2	3	4	1	6	7	8	5
3	4	1	2	7	8	5	6
4	1	2	3	8	5	6	7
5	6	7	8	1	2	3	4
6	7	8	5	2	3	4	1
7	8	5	6	3	4	1	2
8	5	6	7	4	1	2	3
